Loading core dump: .\Order.API-11.dmp ...
Statistics:
          MT  Count  TotalSize Class Name
7ffcd0aa7e38      1         24 Microsoft.AspNetCore.Hosting.WebHostBuilderKestrelExtensions+<>c__DisplayClass6_0
7ffcd0aa7f58      1         24 Microsoft.AspNetCore.WebHost+<>c__DisplayClass12_0
7ffcd0aacb40      1         24 System.Exception[]
7ffcd0aad478      1         24 Microsoft.AspNetCore.Watch.BrowserRefresh.HostingStartup
7ffcd0aade50      1         24 Microsoft.WebTools.ApiEndpointDiscovery.HostingStartup
7ffcd0aae4a8      1         24 Microsoft.WebTools.BrowserLink.Net.HostingStartup
7ffcd0aaed60      1         24 Microsoft.Extensions.FileProviders.NullFileProvider
7ffcd0ac2220      1         24 Microsoft.AspNetCore.Hosting.GenericWebHostBuilder+<>c
7ffcd0ac28e0      1         24 System.Diagnostics.W3CPropagator
7ffcd0ac4218      1         24 Microsoft.Extensions.DependencyInjection.EndpointMetadataApiExplorerServiceCollectionExtensions+<>c
7ffcd0acbec0      1         24 Microsoft.AspNetCore.WebHost+<>c__DisplayClass12_1
7ffcd0ae3710      1         24 Microsoft.Extensions.DependencyInjection.RoutingServiceCollectionExtensions+<>c__DisplayClass1_0
7ffcd0ae6288      1         24 Microsoft.Extensions.DependencyInjection.RoutingServiceCollectionExtensions+<>c
7ffcd05f1248      1         24 Order.API.Startup
7ffcd0ae75f8      1         24 Order.API.Startup+<>c__DisplayClass8_0
7ffcd0b41510      1         24 Microsoft.Extensions.Configuration.ConfigurationBinder+<>c
7ffcd0b47428      1         24 System.ComponentModel.WeakHashtable+WeakKeyComparer
7ffcd0b4af90      1         24 System.ComponentModel.ReflectTypeDescriptionProvider+<>c
7ffcd0b4a628      1         24 System.Runtime.InteropServices.GuidAttribute
7ffcd0b4b650      1         24 System.CLSCompliantAttribute
7ffcd0b49570      1         24 System.ComponentModel.TypeConverterAttribute
7ffcd0b4dc18      1         24 System.ComponentModel.StringConverter
7ffcd0b4e110      1         24 System.ComponentModel.BooleanConverter
7ffcd0b4f5a8      1         24 Microsoft.Extensions.DependencyInjection.MvcCoreServiceCollectionExtensions+<>c__3<Microsoft.AspNetCore.Hosting.IWebHostEnvironment>
7ffcd0b4fb60      1         24 Microsoft.Extensions.DependencyInjection.MvcCoreServiceCollectionExtensions+<>c__3<Microsoft.AspNetCore.Mvc.ApplicationParts.ApplicationPartManager>
7ffcd0b615d8      1         24 Microsoft.AspNetCore.Mvc.ApplicationParts.ApplicationPartManager+<>c
7ffcd0b62768      1         24 Microsoft.AspNetCore.Mvc.ApplicationParts.DefaultApplicationPartFactory
7ffcd0b63728      1         24 Microsoft.AspNetCore.Mvc.ApplicationParts.RelatedAssemblyAttribute[]
7ffcd0b65748      1         24 System.Linq.Enumerable+EnumerableSorter<System.Reflection.Assembly>+<>c
7ffcd0b65b58      1         24 Microsoft.AspNetCore.Mvc.Controllers.ControllerFeatureProvider
7ffcd0c356f8      1         24 Microsoft.Extensions.DependencyInjection.MvcCoreServiceCollectionExtensions+<>c
7ffcd0c36080      1         24 Microsoft.Extensions.DependencyInjection.MvcApiExplorerMvcCoreBuilderExtensions+<>c
7ffcd0aed8c8      1         24 Order.API.CustomExtensionMethods+<>c
7ffcd0c3e128      1         24 Microsoft.Extensions.DependencyInjection.ServiceCollectionExtensions+<>c
7ffcd0d5f438      1         24 Microsoft.Extensions.DependencyInjection.SwaggerGenServiceCollectionExtensions+<>c
7ffcd0d67f10      1         24 Microsoft.Extensions.DependencyInjection.EntityFrameworkServiceCollectionExtensions+<>c__DisplayClass1_0<Order.Infrastructure.OrderContext, Order.Infrastructure.OrderContext>
7ffcd0d6e428      1         24 Microsoft.Extensions.DependencyInjection.EntityFrameworkServiceCollectionExtensions+<>c__DisplayClass18_0<Order.Infrastructure.OrderContext>
7ffcd0d6e650      1         24 Microsoft.Extensions.DependencyInjection.EntityFrameworkServiceCollectionExtensions+<>c__19<Order.Infrastructure.OrderContext>
7ffcd0d6e720      1         24 Microsoft.Extensions.DependencyInjection.EntityFrameworkServiceCollectionExtensions+<>c__10<Order.Infrastructure.OrderContext, Order.Infrastructure.OrderContext>
7ffcd0ae7dd8      1         24 Order.API.Startup+<>c
