Loading core dump: .\Order.API-3.dmp ...
Statistics:
          MT   Count  TotalSize Class Name
7ffcf3abc7c8       1         24 Microsoft.AspNetCore.Hosting.WebHostBuilderNamedPipeExtensions+<>c
7ffcf3abc9e0       1         24 Microsoft.AspNetCore.Hosting.WebHostBuilderQuicExtensions+<>c__DisplayClass1_0
7ffcf3b06768       1         24 System.Collections.Generic.GenericEqualityComparer<System.Guid>
7ffcf3b06f68       1         24 System.Net.NetEventSource+<>c
7ffcf3b08c78       1         24 System.Diagnostics.Metrics.MeterListener[]
7ffcf3b09028       1         24 System.Collections.Generic.ObjectEqualityComparer<System.Diagnostics.Metrics.Instrument>
7ffcf3b0bd20       1         24 Microsoft.AspNetCore.Hosting.WebHostBuilderQuicExtensions+<>c
7ffcf3b0be60       1         24 Microsoft.AspNetCore.Hosting.WebHostBuilderKestrelExtensions+<>c__DisplayClass6_0
7ffcf3b0bf80       1         24 Microsoft.AspNetCore.WebHost+<>c__DisplayClass12_0
7ffcf3bb0c00       1         24 System.Exception[]
7ffcf3bb1538       1         24 Microsoft.AspNetCore.Watch.BrowserRefresh.HostingStartup
7ffcf3bb1f10       1         24 Microsoft.WebTools.ApiEndpointDiscovery.HostingStartup
7ffcf3bb2568       1         24 Microsoft.WebTools.BrowserLink.Net.HostingStartup
7ffcf3bb2e20       1         24 Microsoft.Extensions.FileProviders.NullFileProvider
7ffcf3bb5e30       1         24 Microsoft.AspNetCore.Hosting.GenericWebHostBuilder+<>c
7ffcf3bb64f0       1         24 System.Diagnostics.W3CPropagator
7ffcf3bb7e28       1         24 Microsoft.Extensions.DependencyInjection.EndpointMetadataApiExplorerServiceCollectionExtensions+<>c
7ffcf3bbfad0       1         24 Microsoft.AspNetCore.WebHost+<>c__DisplayClass12_1
7ffcf3bd7318       1         24 Microsoft.Extensions.DependencyInjection.RoutingServiceCollectionExtensions+<>c__DisplayClass1_0
7ffcf3bd9e90       1         24 Microsoft.Extensions.DependencyInjection.RoutingServiceCollectionExtensions+<>c
7ffcf3601248       1         24 Order.API.Startup
7ffcf3bdb200       1         24 Order.API.Startup+<>c__DisplayClass8_0
7ffcf3c25058       1         24 Microsoft.Extensions.Configuration.ConfigurationBinder+<>c
7ffcf3c2af70       1         24 System.ComponentModel.WeakHashtable+WeakKeyComparer
7ffcf3c2e7f0       1         24 System.ComponentModel.ReflectTypeDescriptionProvider+<>c
7ffcf3c2de88       1         24 System.Runtime.InteropServices.GuidAttribute
7ffcf3c2eeb0       1         24 System.CLSCompliantAttribute
7ffcf3c2cdd0       1         24 System.ComponentModel.TypeConverterAttribute
7ffcf3c514a0       1         24 System.ComponentModel.StringConverter
7ffcf3c51998       1         24 System.ComponentModel.BooleanConverter
7ffcf3c52e30       1         24 Microsoft.Extensions.DependencyInjection.MvcCoreServiceCollectionExtensions+<>c__3<Microsoft.AspNetCore.Hosting.IWebHostEnvironment>
7ffcf3c533e8       1         24 Microsoft.Extensions.DependencyInjection.MvcCoreServiceCollectionExtensions+<>c__3<Microsoft.AspNetCore.Mvc.ApplicationParts.ApplicationPartManager>
